UMAP1,UMAP2,cell_type,distance_bin,plaque_distance
3.144846,2.1115742,Neuron,>200um (far),688.8469336541527
4.3395667,3.0045424,Neuron,>200um (far),870.0947287904947
-0.7818278,-0.72297096,Oligodendrocyte,>200um (far),827.3163884317675
0.36627543,-0.025700917,Microglia,>200um (far),255.86124393291746
0.27882668,2.8607953,Microglia,100-200um,121.9263715392398
4.4783483,-0.9614209,Neuron,>200um (far),699.9623079356393
2.252077,2.016539,Neuron,>200um (far),734.3489200005716
1.539107,-1.3227143,Neuron,>200um (far),342.025442353012
5.357261,2.207104,Microglia,>200um (far),634.4500957193251
3.252094,-1.0016949,Microglia,>200um (far),664.604873365646
4.928264,1.3542471,Microglia,>200um (far),204.49342537915552
0.66138536,2.217699,Microglia,100-200um,115.79306029969167
1.9095007,-0.55032206,Neuron,>200um (far),298.42777747395644
5.0035,1.1348872,Neuron,>200um (far),327.27936246629883
4.2990522,0.60070825,Oligodendrocyte,>200um (far),726.566504473227
3.0948806,1.79713,Neuron,>200um (far),209.8036122997634
1.1968521,0.13909572,Microglia,>200um (far),508.488344203258
3.50878,-1.7424752,Oligodendrocyte,100-200um,136.86768719767423
4.536011,3.031945,Microglia,>200um (far),368.77292173217893
2.2357392,1.5093244,Microglia,>200um (far),1003.89881972042
3.338438,-0.5412354,Astrocyte,>200um (far),1305.928453197836
2.628942,0.16842619,Astrocyte,>200um (far),222.21416292962394
2.3539808,-1.3288258,Astrocyte,100-200um,172.7226656721805
1.5420846,2.4419124,Neuron,>200um (far),1129.5208740390585
0.11045117,-0.36742002,Oligodendrocyte,>200um (far),866.4650404892476
1.080505,-0.8773596,Oligodendrocyte,>200um (far),1122.350905083523
4.586791,1.6107092,Neuron,>200um (far),327.70543903279946
5.9643774,1.2216463,Neuron,>200um (far),356.2301304216671
4.651528,0.8793397,Neuron,>200um (far),846.9026403737687
5.709727,2.3262312,Neuron,>200um (far),1128.4851733241173
5.3607316,1.5600535,Neuron,>200um (far),733.813719243228
0.8593434,4.1969275,Oligodendrocyte,>200um (far),1107.5364167720736
4.536871,0.6929496,Neuron,>200um (far),841.7714768878681
4.0148053,-1.1377507,Microglia,>200um (far),1025.2617433723917
4.370279,2.985918,Microglia,>200um (far),947.7958930139274
0.94791,-0.76987314,Microglia,>200um (far),2073.242426642829
4.077268,1.3398206,Microglia,>200um (far),252.48226351497732
5.0279408,0.6311674,Neuron,>200um (far),680.5860075626233
4.1229076,0.4435212,Oligodendrocyte,>200um (far),947.9629786774684
5.146703,0.9342305,Astrocyte,>200um (far),1062.2516816813697
1.5756336,-0.33144253,Astrocyte,>200um (far),319.83425743783005
4.0640883,0.942104,Astrocyte,>200um (far),592.6833307866858
2.6191323,1.1836216,Microglia,100-200um,158.99582374396812
5.139259,1.3636442,Neuron,>200um (far),507.83662351113776
5.7036047,1.0117922,Neuron,>200um (far),678.6359121556125
2.8499405,2.0563722,Microglia,>200um (far),238.83644634964003
3.295095,-0.30777195,Neuron,>200um (far),320.15868439565975
4.237914,1.4128708,Microglia,>200um (far),1374.3497359933253
6.3653455,1.6658564,Neuron,>200um (far),717.793572878352
3.8162434,-0.8911921,Neuron,>200um (far),517.7461399682874
3.4784546,-0.51775753,Neuron,>200um (far),419.36678890940743
1.9909155,0.16634682,Neuron,>200um (far),387.6279278336308
2.5210981,0.943602,Microglia,>200um (far),1400.6505956454264
0.8188623,-1.4688078,Oligodendrocyte,>200um (far),460.7804124456325
2.0187066,-1.8172398,Microglia,50-100um,55.71996113944741
4.874877,2.1812153,Neuron,>200um (far),695.625693918823
3.8975422,3.5651567,Neuron,>200um (far),1146.283591041057
1.5484476,0.45717853,Oligodendrocyte,>200um (far),525.7440352870619
2.5289528,2.8542507,Neuron,>200um (far),308.4641461018729
-0.75538534,-0.81286055,Microglia,>200um (far),1513.4034269566769
4.8798947,0.87205625,Astrocyte,>200um (far),427.40885043759675
0.78145105,-0.06585607,Oligodendrocyte,>200um (far),1163.4169070094292
4.896705,1.2655458,Astrocyte,>200um (far),363.3419874115661
4.456894,0.7383766,Astrocyte,>200um (far),1241.6959834600555
2.3023503,0.10731123,Oligodendrocyte,>200um (far),872.7794998652754
2.863457,-0.7739252,Neuron,>200um (far),617.8184193255768
3.7920482,1.7988597,Oligodendrocyte,>200um (far),1353.660426040124
0.69039935,-1.6874377,Oligodendrocyte,>200um (far),785.1490724444329
0.17749725,2.928803,Astrocyte,>200um (far),757.4366115353115
3.93568,2.2045143,Microglia,>200um (far),664.6681854535306
2.8064525,3.3908062,Oligodendrocyte,>200um (far),599.971479122332
